Score,Total Score,Steps
0,-0.1,1
0,-0.2,2
0,-0.30000000000000004,3
0,-0.4,4
0,-0.5,5
0,-0.6000000000000001,6
0,-0.7000000000000001,7
0,-0.8,8
0,-0.9,9
0,-1.0,10
0,-1.1,11
0,-1.2000000000000002,12
0,-1.3,13
0,-1.4000000000000001,14
0,-1.5,15
0,-1.6,16
0,-1.7000000000000002,17
0,-1.8,18
0,-1.9000000000000001,19
0,-2.0,20
0,-2.1,21
0,-2.2,22
0,-2.3000000000000003,23
1,7.6,24
1,7.5,25
1,7.4,26
1,7.3,27
1,7.199999999999999,28
1,7.1,29
1,7.0,30
1,6.9,31
1,6.8,32
1,6.699999999999999,33
1,6.6,34
1,6.5,35
1,6.4,36
1,6.3,37
1,6.199999999999999,38
1,6.1,39
1,6.0,40
2,15.899999999999999,41
2,15.8,42
2,15.7,43
2,15.6,44
2,15.5,45
2,15.399999999999999,46
2,15.3,47
2,15.2,48
2,15.1,49
2,15.0,50
2,14.899999999999999,51
2,14.8,52
2,14.7,53
2,14.6,54
2,14.5,55
2,14.399999999999999,56
2,14.3,57
2,14.2,58
2,14.1,59
3,24.0,60
3,23.9,61
3,23.8,62
3,23.7,63
3,23.6,64
3,23.5,65
3,23.4,66
3,23.3,67
3,23.2,68
3,23.1,69
3,23.0,70
3,22.9,71
3,22.8,72
3,22.7,73
3,22.6,74
3,22.5,75
3,22.4,76
3,22.3,77
3,22.2,78
3,22.1,79
3,22.0,80
3,21.9,81
3,21.799999999999997,82
3,21.7,83
3,21.6,84
3,21.5,85
3,21.4,86
3,21.299999999999997,87
3,21.2,88
4,31.1,89
4,31.0,90
4,30.9,91
4,30.799999999999997,92
4,30.7,93
4,30.6,94
4,30.5,95
4,30.4,96
4,30.299999999999997,97
4,30.2,98
4,30.1,99
4,30.0,100
4,29.9,101
4,29.799999999999997,102
4,29.7,103
4,29.6,104
4,29.5,105
4,29.4,106
4,29.299999999999997,107
4,29.2,108
4,29.1,109
4,29.0,110
4,28.9,111
4,28.799999999999997,112
4,28.7,113
4,28.6,114
4,28.5,115
4,28.4,116
4,28.299999999999997,117
4,28.2,118
4,28.1,119
4,28.0,120
4,27.9,121
4,27.799999999999997,122
4,27.7,123
4,27.6,124
4,27.5,125
4,27.4,126
4,27.299999999999997,127
4,27.2,128
4,27.1,129
4,27.0,130
4,26.9,131
4,26.799999999999997,132
4,26.7,133
4,26.6,134
4,26.5,135
4,26.4,136
5,36.3,137
5,36.2,138
5,36.1,139
5,36.0,140
5,35.9,141
5,35.8,142
5,35.7,143
5,35.6,144
5,35.5,145
5,35.4,146
5,35.3,147
5,35.2,148
5,35.1,149
6,45.0,150
6,44.9,151
6,44.8,152
6,44.7,153
6,44.6,154
6,44.5,155
6,44.4,156
6,44.3,157
6,44.2,158
6,44.1,159
6,44.0,160
6,43.9,161
6,43.8,162
6,43.7,163
6,43.599999999999994,164
6,43.5,165
6,43.4,166
6,43.3,167
6,43.2,168
6,43.099999999999994,169
6,43.0,170
6,42.9,171
6,42.8,172
6,42.7,173
6,42.599999999999994,174
6,42.5,175
6,42.4,176
6,42.3,177
6,42.2,178
6,42.099999999999994,179
6,42.0,180
6,41.9,181
6,41.8,182
6,41.7,183
6,41.599999999999994,184
6,41.5,185
6,41.4,186
6,41.3,187
6,41.2,188
6,41.099999999999994,189
6,41.0,190
6,40.9,191
6,40.8,192
6,40.7,193
6,40.599999999999994,194
6,40.5,195
6,40.4,196
6,40.3,197
6,40.2,198
6,40.099999999999994,199
6,40.0,200
6,39.9,201
6,39.8,202
6,39.7,203
6,39.599999999999994,204
6,39.5,205
6,39.4,206
6,39.3,207
6,39.2,208
6,39.099999999999994,209
6,39.0,210
6,38.9,211
6,38.8,212
6,38.7,213
6,38.599999999999994,214
6,38.5,215
6,38.4,216
6,38.3,217
6,38.2,218
6,38.099999999999994,219
7,48.0,220
7,47.9,221
7,47.8,222
7,47.7,223
7,47.599999999999994,224
7,47.5,225
7,47.4,226
7,47.3,227
7,47.2,228
7,47.099999999999994,229
7,47.0,230
7,46.9,231
7,46.8,232
7,46.7,233
7,46.599999999999994,234
7,46.5,235
7,46.4,236
7,46.3,237
7,46.2,238
7,46.099999999999994,239
7,46.0,240
7,45.9,241
7,45.8,242
7,45.7,243
7,45.599999999999994,244
7,45.5,245
7,45.4,246
7,45.3,247
7,45.2,248
7,45.099999999999994,249
7,45.0,250
7,44.9,251
7,44.8,252
7,44.7,253
7,44.599999999999994,254
7,44.5,255
7,44.4,256
7,44.3,257
7,44.2,258
7,44.099999999999994,259
7,44.0,260
7,43.9,261
7,43.8,262
7,43.7,263
7,43.599999999999994,264
7,43.5,265
7,43.4,266
7,43.3,267
7,43.2,268
7,43.099999999999994,269
7,43.0,270
7,42.9,271
7,42.8,272
7,42.7,273
7,42.599999999999994,274
7,42.5,275
7,42.4,276
7,42.3,277
7,42.2,278
7,42.099999999999994,279
7,42.0,280
7,41.9,281
7,41.8,282
7,41.7,283
7,41.599999999999994,284
7,41.5,285
7,41.4,286
7,41.3,287
7,41.2,288
7,41.099999999999994,289
7,41.0,290
8,50.9,291
8,50.8,292
8,50.7,293
8,50.599999999999994,294
9,60.5,295
9,60.4,296
9,60.3,297
9,60.2,298
9,60.099999999999994,299
9,60.0,300
9,59.9,301
9,59.8,302
9,59.7,303
9,59.599999999999994,304
9,59.5,305
9,59.4,306
9,59.3,307
9,59.2,308
9,59.099999999999994,309
9,59.0,310
10,68.9,311
10,68.8,312
10,68.7,313
10,68.6,314
10,68.5,315
10,68.4,316
10,68.3,317
10,68.2,318
10,68.1,319
10,68.0,320
10,67.9,321
10,67.8,322
10,67.69999999999999,323
10,67.6,324
10,67.5,325
10,67.4,326
10,67.3,327
10,67.19999999999999,328
10,67.1,329
10,67.0,330
10,66.9,331
10,66.8,332
10,66.69999999999999,333
11,76.6,334
11,76.5,335
11,76.4,336
11,76.3,337
11,76.19999999999999,338
11,76.1,339
11,76.0,340
11,75.9,341
11,75.8,342
11,75.69999999999999,343
11,75.6,344
11,75.5,345
11,75.4,346
11,75.3,347
11,75.19999999999999,348
11,75.1,349
11,75.0,350
11,74.9,351
11,74.8,352
11,74.69999999999999,353
11,74.6,354
11,74.5,355
11,74.4,356
11,74.3,357
11,74.19999999999999,358
11,74.1,359
11,74.0,360
11,73.9,361
11,73.8,362
11,73.69999999999999,363
11,73.6,364
11,73.5,365
11,73.4,366
11,73.3,367
11,73.19999999999999,368
11,73.1,369
11,73.0,370
11,72.9,371
11,72.8,372
11,72.69999999999999,373
11,72.6,374
11,72.5,375
11,72.4,376
11,72.3,377
11,72.19999999999999,378
11,72.1,379
11,72.0,380
11,71.9,381
11,71.8,382
11,71.69999999999999,383
11,71.6,384
11,71.5,385
11,71.4,386
11,71.3,387
11,71.19999999999999,388
11,71.1,389
11,71.0,390
11,70.9,391
11,70.8,392
12,80.69999999999999,393
12,80.6,394
12,80.5,395
12,80.4,396
12,80.3,397
12,80.19999999999999,398
12,80.1,399
12,80.0,400
12,79.9,401
12,79.8,402
12,79.69999999999999,403
12,79.6,404
12,79.5,405
12,79.4,406
12,79.3,407
12,79.19999999999999,408
12,79.1,409
12,79.0,410
12,78.9,411
12,78.8,412
12,78.69999999999999,413
12,78.6,414
12,78.5,415
12,78.4,416
12,78.3,417
12,78.19999999999999,418
12,78.1,419
12,78.0,420
12,77.9,421
12,77.8,422
12,77.69999999999999,423
12,77.6,424
12,77.5,425
12,77.4,426
12,77.3,427
12,77.19999999999999,428
12,77.1,429
12,77.0,430
12,76.9,431
12,76.8,432
12,76.69999999999999,433
12,76.6,434
12,76.5,435
12,76.4,436
12,76.3,437
12,76.19999999999999,438
12,76.1,439
12,76.0,440
12,75.9,441
12,75.8,442
12,75.69999999999999,443
12,75.6,444
12,75.5,445
12,75.4,446
12,75.3,447
12,75.19999999999999,448
12,75.1,449
12,75.0,450
12,74.9,451
12,74.8,452
13,84.69999999999999,453
13,84.6,454
13,84.5,455
13,84.4,456
13,84.3,457
13,84.19999999999999,458
13,84.1,459
13,84.0,460
13,83.9,461
13,83.8,462
13,83.69999999999999,463
13,83.6,464
13,83.5,465
13,83.4,466
13,83.3,467
13,83.19999999999999,468
13,83.1,469
13,83.0,470
13,82.9,471
13,82.8,472
13,82.69999999999999,473
13,82.6,474
13,82.5,475
13,82.4,476
13,82.3,477
13,82.19999999999999,478
13,82.1,479
13,82.0,480
13,81.9,481
14,91.8,482
14,91.69999999999999,483
14,91.6,484
14,91.5,485
14,91.4,486
14,91.3,487
14,91.19999999999999,488
14,91.1,489
14,91.0,490
14,90.9,491
14,90.8,492
14,90.69999999999999,493
14,90.6,494
14,90.5,495
14,90.4,496
14,90.3,497
14,90.19999999999999,498
14,90.1,499
14,90.0,500
14,89.9,501
14,89.8,502
14,89.69999999999999,503
14,89.6,504
14,89.5,505
14,89.4,506
14,89.3,507
14,89.19999999999999,508
14,89.1,509
14,89.0,510
14,88.9,511
14,88.8,512
14,88.69999999999999,513
14,88.6,514
14,88.5,515
14,88.4,516
14,88.3,517
14,88.19999999999999,518
14,88.1,519
14,88.0,520
14,87.9,521
14,87.8,522
14,87.69999999999999,523
14,87.6,524
14,87.5,525
14,87.4,526
14,87.3,527
14,87.19999999999999,528
14,87.1,529
14,87.0,530
14,86.9,531
14,86.8,532
14,86.69999999999999,533
14,86.6,534
14,86.5,535
14,86.4,536
14,86.3,537
14,86.19999999999999,538
14,86.1,539
14,86.0,540
14,85.9,541
14,85.8,542
14,85.69999999999999,543
14,85.6,544
14,85.5,545
14,85.4,546
14,85.3,547
14,85.19999999999999,548
15,95.1,549
15,95.0,550
15,94.9,551
15,94.8,552
15,94.69999999999999,553
15,94.6,554
15,94.5,555
15,94.4,556
15,94.3,557
15,94.19999999999999,558
15,94.1,559
15,94.0,560
15,93.9,561
15,93.8,562
15,93.69999999999999,563
15,93.6,564
15,93.5,565
15,93.4,566
15,93.3,567
15,93.19999999999999,568
15,93.1,569
15,93.0,570
15,92.9,571
15,92.8,572
15,92.69999999999999,573
15,92.6,574
15,92.5,575
15,92.4,576
15,92.3,577
15,92.19999999999999,578
15,92.1,579
15,92.0,580
15,91.9,581
15,91.8,582
15,91.69999999999999,583
15,91.6,584
15,91.5,585
15,91.4,586
15,91.3,587
15,91.19999999999999,588
15,91.1,589
15,91.0,590
15,90.9,591
15,90.8,592
15,90.69999999999999,593
15,90.6,594
15,90.5,595
15,90.4,596
15,90.3,597
15,90.19999999999999,598
15,90.1,599
15,90.0,600
15,89.9,601
15,89.8,602
15,89.69999999999999,603
15,89.6,604
15,89.5,605
15,89.4,606
15,89.3,607
15,89.19999999999999,608
15,89.1,609
15,89.0,610
15,88.9,611
15,88.8,612
15,88.69999999999999,613
15,88.6,614
15,88.5,615
15,88.4,616
15,88.3,617
15,88.19999999999999,618
15,88.1,619
15,88.0,620
15,87.9,621
15,87.8,622
16,97.69999999999999,623
16,97.6,624
16,97.5,625
16,97.4,626
16,97.3,627
16,97.19999999999999,628
16,97.1,629
16,97.0,630
16,96.9,631
16,96.8,632
16,96.69999999999999,633
16,96.6,634
16,96.5,635
16,96.4,636
16,96.3,637
16,96.19999999999999,638
16,96.1,639
16,96.0,640
16,95.89999999999999,641
16,95.8,642
16,95.7,643
16,95.6,644
16,95.5,645
16,95.39999999999999,646
16,95.3,647
16,95.2,648
16,95.1,649
16,95.0,650
16,94.89999999999999,651
17,104.8,652
17,104.7,653
17,104.6,654
17,104.5,655
17,104.39999999999999,656
17,104.3,657
17,104.2,658
17,104.1,659
17,104.0,660
17,103.89999999999999,661
17,103.8,662
17,103.7,663
17,103.6,664
17,103.5,665
17,103.39999999999999,666
17,103.3,667
17,103.2,668
17,103.1,669
17,103.0,670
17,102.89999999999999,671
17,102.8,672
17,102.7,673
17,102.6,674
17,102.5,675
17,102.39999999999999,676
17,102.3,677
17,102.2,678
17,102.1,679
17,102.0,680
17,101.89999999999999,681
17,101.8,682
17,101.7,683
17,101.6,684
17,101.5,685
17,101.39999999999999,686
17,101.3,687
17,101.2,688
17,101.1,689
17,101.0,690
17,100.89999999999999,691
17,100.8,692
17,100.7,693
17,100.6,694
18,110.5,695
18,110.39999999999999,696
18,110.3,697
19,120.2,698
19,120.1,699
19,120.0,700
19,119.89999999999999,701
19,119.8,702
19,119.7,703
19,119.6,704
19,119.5,705
19,119.39999999999999,706
19,119.3,707
19,119.2,708
19,119.1,709
19,119.0,710
19,118.89999999999999,711
19,118.8,712
19,118.7,713
19,118.6,714
19,118.5,715
19,118.39999999999999,716
19,118.3,717
19,118.2,718
19,118.1,719
19,118.0,720
19,117.89999999999999,721
19,117.8,722
19,117.7,723
19,117.6,724
19,117.5,725
19,117.39999999999999,726
19,117.3,727
19,117.2,728
19,117.1,729
19,117.0,730
19,116.89999999999999,731
19,116.8,732
19,116.7,733
19,116.6,734
19,116.5,735
19,116.39999999999999,736
19,116.3,737
19,116.2,738
19,116.1,739
19,116.0,740
19,115.89999999999999,741
19,115.8,742
19,115.7,743
19,115.6,744
19,115.5,745
19,115.39999999999999,746
19,115.3,747
19,115.2,748
19,115.1,749
19,115.0,750
19,114.89999999999999,751
19,114.8,752
19,114.7,753
19,114.6,754
19,114.5,755
19,114.39999999999999,756
19,114.3,757
19,114.2,758
19,114.1,759
19,114.0,760
19,113.89999999999999,761
19,113.8,762
19,113.7,763
19,113.6,764
20,123.5,765
20,123.39999999999999,766
21,133.3,767
21,133.2,768
21,133.1,769
21,133.0,770
21,132.89999999999998,771
21,132.8,772
21,132.7,773
21,132.6,774
21,132.5,775
21,132.39999999999998,776
21,132.3,777
21,132.2,778
21,132.1,779
21,132.0,780
21,131.89999999999998,781
21,131.8,782
21,131.7,783
21,131.6,784
21,131.5,785
21,131.39999999999998,786
21,131.3,787
21,131.2,788
21,131.1,789
21,131.0,790
21,130.89999999999998,791
21,130.8,792
21,130.7,793
21,130.6,794
21,130.5,795
21,130.39999999999998,796
21,130.3,797
21,130.2,798
21,130.1,799
21,130.0,800
21,129.89999999999998,801
21,129.8,802
21,129.7,803
21,129.6,804
21,129.5,805
21,129.39999999999998,806
21,129.3,807
21,129.2,808
21,129.1,809
21,129.0,810
21,128.89999999999998,811
21,128.8,812
21,128.7,813
21,128.6,814
21,128.5,815
21,128.39999999999998,816
21,128.3,817
21,128.2,818
21,128.1,819
21,128.0,820
21,127.89999999999999,821
21,127.8,822
21,127.69999999999999,823
21,127.6,824
21,127.5,825
21,127.39999999999999,826
21,127.3,827
21,127.19999999999999,828
22,137.1,829
22,137.0,830
22,136.89999999999998,831
22,136.8,832
22,136.7,833
22,136.6,834
22,136.5,835
22,136.39999999999998,836
22,136.3,837
22,136.2,838
22,136.1,839
22,136.0,840
22,135.89999999999998,841
22,135.8,842
22,135.7,843
22,135.6,844
22,135.5,845
22,135.39999999999998,846
22,135.3,847
22,135.2,848
22,135.1,849
22,135.0,850
22,134.89999999999998,851
22,134.8,852
23,144.7,853
23,144.6,854
23,144.5,855
23,144.39999999999998,856
23,144.3,857
23,144.2,858
23,144.1,859
23,144.0,860
23,143.89999999999998,861
23,143.8,862
23,143.7,863
23,143.6,864
23,143.5,865
23,143.39999999999998,866
23,143.3,867
23,143.2,868
23,143.1,869
23,143.0,870
23,142.89999999999998,871
23,142.8,872
23,142.7,873
23,142.6,874
23,142.5,875
23,142.39999999999998,876
23,142.3,877
23,142.2,878
23,142.1,879
23,142.0,880
23,141.89999999999998,881
23,141.8,882
23,141.7,883
23,141.6,884
23,141.5,885
23,141.39999999999998,886
23,141.3,887
23,141.2,888
23,141.1,889
23,141.0,890
23,140.89999999999998,891
23,140.8,892
23,140.7,893
23,140.6,894
23,140.5,895
23,140.39999999999998,896
23,140.3,897
23,140.2,898
23,140.1,899
23,140.0,900
23,139.89999999999998,901
23,139.8,902
23,139.7,903
23,139.6,904
23,139.5,905
23,139.39999999999998,906
23,139.3,907
23,139.2,908
23,139.1,909
23,139.0,910
23,138.89999999999998,911
23,138.8,912
23,138.7,913
23,138.6,914
23,138.5,915
23,138.39999999999998,916
23,138.3,917
23,138.2,918
23,138.1,919
24,148.0,920
24,147.89999999999998,921
24,147.8,922
24,147.7,923
25,157.6,924
25,157.5,925
25,157.39999999999998,926
25,157.3,927
25,157.2,928
25,157.1,929
25,157.0,930
25,156.89999999999998,931
25,156.8,932
25,156.7,933
25,156.6,934
25,156.5,935
25,156.39999999999998,936
25,156.3,937
25,156.2,938
25,156.1,939
25,156.0,940
25,155.89999999999998,941
25,155.8,942
25,155.7,943
25,155.6,944
25,155.5,945
25,155.39999999999998,946
25,155.3,947
25,155.2,948
25,155.1,949
25,155.0,950
25,154.89999999999998,951
25,154.8,952
25,154.7,953
25,154.6,954
25,154.5,955
25,154.39999999999998,956
25,154.3,957
25,154.2,958
25,154.1,959
